frame,time,id,cls,conf,x1,y1,x2,y2,cx,cy,lane,speed_kmh
164,5.47,45,car,0.46,856.2,645.4,921.3,721.1,888.8,683.2,8,83.2
164,5.47,56,car,0.32,1503.0,362.1,1580.9,425.6,1541.9,393.9,4,92.6
165,5.51,57,car,0.58,1400.5,256.8,1472.0,316.5,1436.3,286.7,2,93.9
166,5.54,57,car,0.58,1384.3,257.2,1455.2,314.6,1419.7,285.9,2,94.1
166,5.54,56,car,0.49,1471.7,362.6,1550.3,424.0,1511.0,393.3,4,92.3
167,5.57,57,car,0.59,1370.5,257.2,1439.5,313.4,1405.0,285.3,2,93.1
167,5.57,45,car,0.37,904.5,647.0,966.3,723.4,935.4,685.2,8,84.4
168,5.61,57,car,0.57,1352.2,256.3,1424.0,314.0,1388.1,285.1,2,93.9
168,5.61,45,car,0.43,918.5,646.0,979.5,723.7,949.0,684.9,8,84.6
168,5.61,56,car,0.42,1439.6,361.2,1521.3,423.6,1480.4,392.4,4,91.7
169,5.64,57,car,0.55,1337.8,257.1,1409.3,314.0,1373.6,285.5,2,93.2
169,5.64,56,car,0.50,1422.8,361.3,1505.6,422.4,1464.2,391.8,4,91.9
170,5.67,57,car,0.58,1323.6,256.7,1393.2,314.4,1358.4,285.6,2,93.0
170,5.67,56,car,0.49,1407.7,359.3,1492.0,421.8,1449.9,390.5,4,91.8
171,5.71,57,car,0.55,1306.8,257.0,1376.8,313.5,1341.8,285.2,2,93.5
171,5.71,56,car,0.58,1392.5,359.5,1476.3,420.7,1434.4,390.1,4,90.7
172,5.74,57,car,0.58,1290.2,257.2,1361.4,311.1,1325.8,284.2,2,93.6
172,5.74,56,car,0.41,1376.4,361.2,1458.9,419.0,1417.6,390.1,4,91.4
172,5.74,40,car,0.37,407.1,255.1,475.6,308.4,441.4,281.8,2,91.8
173,5.77,57,car,0.56,1275.7,256.3,1346.1,310.0,1310.9,283.2,2,92.8
173,5.77,56,car,0.48,1361.1,362.4,1444.8,418.9,1403.0,390.6,4,91.6
174,5.81,57,car,0.51,1260.8,255.6,1329.4,312.1,1295.1,283.9,2,93.2
174,5.81,56,car,0.47,1346.7,361.5,1431.0,420.6,1388.9,391.1,4,91.1
175,5.84,57,car,0.55,1244.8,256.3,1315.5,315.5,1280.2,285.9,2,92.3
175,5.84,56,car,0.50,1329.8,362.4,1413.3,421.4,1371.5,391.9,4,91.5
175,5.84,40,car,0.45,363.7,254.2,431.8,312.9,397.7,283.5,2,91.2
176,5.87,57,car,0.54,1229.7,256.4,1300.7,317.5,1265.2,286.9,2,91.6
176,5.87,56,car,0.39,1315.6,364.7,1397.0,421.4,1356.3,393.1,4,91.5
176,5.87,40,car,0.39,346.1,254.2,419.3,314.5,382.7,284.4,2,90.9
176,5.87,45,car,0.33,1032.3,647.5,1092.5,725.5,1062.4,686.5,8,84.3
177,5.91,57,car,0.51,1215.3,255.6,1283.8,317.1,1249.5,286.3,2,91.9
177,5.91,56,car,0.52,1300.5,361.4,1381.5,421.6,1341.0,391.5,4,91.3
178,5.94,57,car,0.59,1199.1,255.1,1269.0,316.0,1234.0,285.6,2,91.8
178,5.94,56,car,0.51,1284.5,361.6,1364.6,421.6,1324.5,391.6,4,91.5
179,5.97,57,car,0.56,1182.7,255.8,1253.9,318.1,1218.3,286.9,2,91.4
